Provider State,Provider Township,reportingDate,year,Total,Indicator,Donor
Yangon,Dagon Myothit (South),10/20/2020,2020,1,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),11/20/2020,2020,2,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),12/20/2020,2020,3,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),1/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),2/25/2021,2021,7,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),3/25/2021,2021,2,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),4/25/2021,2021,1,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),5/25/2021,2021,3,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),6/25/2021,2021,10,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),7/25/2021,2021,17,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),8/25/2021,2021,15,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),9/25/2021,2021,9,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),10/25/2021,2021,13,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),11/25/2021,2021,7,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),12/25/2021,2021,12,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),1/25/2022,2022,16,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),2/25/2022,2022,8,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),3/25/2022,2022,12,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),4/20/2022,2022,12,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),5/20/2022,2022,13,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),6/20/2022,2022,19,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),7/20/2022,2022,9,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),8/20/2022,2022,20,Under 5 diarrhoea cases treated,EH
Yangon,Dagon Myothit (South),9/20/2022,2022,8,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,3/20/2020,2020,3,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,6/20/2020,2020,1,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,8/20/2020,2020,3,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,7/25/2021,2021,2,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,9/25/2021,2021,3,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,10/25/2021,2021,21,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,11/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,12/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,1/25/2022,2022,23,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,2/25/2022,2022,6,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,3/25/2022,2022,4,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,4/20/2022,2022,8,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,5/20/2022,2022,14,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,6/20/2022,2022,6,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,7/20/2022,2022,6,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,8/20/2022,2022,15,Under 5 diarrhoea cases treated,EH
Yangon,Dawbon,9/20/2022,2022,6,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,3/20/2020,2020,9,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,5/20/2020,2020,11,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,6/20/2020,2020,8,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,7/20/2020,2020,3,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,8/20/2020,2020,4,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,9/20/2020,2020,9,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,11/20/2020,2020,6,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,12/20/2020,2020,9,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,1/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,2/25/2021,2021,16,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,3/25/2021,2021,24,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,4/25/2021,2021,19,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,5/25/2021,2021,3,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,6/25/2021,2021,13,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,7/25/2021,2021,13,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,8/25/2021,2021,7,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,9/25/2021,2021,15,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,10/25/2021,2021,8,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,11/25/2021,2021,16,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,1/25/2022,2022,51,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,2/25/2022,2022,38,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,3/25/2022,2022,35,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,4/20/2022,2022,22,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,5/20/2022,2022,15,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,6/20/2022,2022,39,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,7/20/2022,2022,36,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,8/20/2022,2022,19,Under 5 diarrhoea cases treated,EH
Yangon,Hlaingtharya,9/20/2022,2022,13,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,4/20/2020,2020,7,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,5/20/2020,2020,6,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,6/20/2020,2020,4,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,7/20/2020,2020,12,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,8/20/2020,2020,31,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,9/20/2020,2020,32,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,11/20/2020,2020,1,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,12/20/2020,2020,9,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,1/25/2021,2021,3,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,2/25/2021,2021,11,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,3/25/2021,2021,6,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,4/25/2021,2021,3,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,5/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,6/25/2021,2021,15,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,7/25/2021,2021,5,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,8/25/2021,2021,9,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,9/25/2021,2021,9,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,10/25/2021,2021,10,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,11/25/2021,2021,4,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,12/25/2021,2021,20,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,1/25/2022,2022,33,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,2/25/2022,2022,24,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,3/25/2022,2022,14,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,4/20/2022,2022,16,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,5/20/2022,2022,22,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,6/20/2022,2022,19,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,7/20/2022,2022,7,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,8/20/2022,2022,14,Under 5 diarrhoea cases treated,EH
Yangon,Shwepyithar,9/20/2022,2022,16,Under 5 diarrhoea cases treated,EH
Ayeyarwady,Hinthada,6/20/2022,2022,13,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Hinthada,7/20/2022,2022,4,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Hinthada,9/20/2022,2022,4,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Hinthada,10/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,6/20/2022,2022,4,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,7/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,8/20/2022,2022,3,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,9/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,10/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Ayeyarwady,Wakema,11/20/2022,2022,6,Under 5 diarrhoea cases treated,A2H
Bago (East),Phyu,5/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Bago (East),Phyu,6/20/2022,2022,4,Under 5 diarrhoea cases treated,A2H
Bago (East),Phyu,8/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Bago (East),Phyu,9/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Bago (East),Taungoo,5/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Yangon,Hlegu,6/20/2022,2022,22,Under 5 diarrhoea cases treated,A2H
Yangon,Hlegu,7/20/2022,2022,8,Under 5 diarrhoea cases treated,A2H
Yangon,Hlegu,8/20/2022,2022,12,Under 5 diarrhoea cases treated,A2H
Yangon,Hlegu,9/20/2022,2022,8,Under 5 diarrhoea cases treated,A2H
Yangon,Hlegu,10/20/2022,2022,6,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,5/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,7/20/2022,2022,3,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,8/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,9/20/2022,2022,3,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,10/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Yangon,Thaketa,11/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Shan (South),Loilen,6/20/2022,2022,26,Under 5 diarrhoea cases treated,A2H
Shan (South),Loilen,7/20/2022,2022,10,Under 5 diarrhoea cases treated,A2H
Shan (South),Loilen,10/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Shan (South),Nansang,7/20/2022,2022,3,Under 5 diarrhoea cases treated,A2H
Shan (South),Nansang,9/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Shan (South),Nansang,10/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Mandalay,Myittha,6/20/2022,2022,1,Under 5 diarrhoea cases treated,A2H
Magway,Taungdwingyi,7/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Magway,Taungdwingyi,10/20/2022,2022,2,Under 5 diarrhoea cases treated,A2H
Mon,Mawlamyine,5/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Mon,Mawlamyine,8/20/2022,2022,4,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Hinthada,6/20/2022,2022,16,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Hinthada,7/20/2022,2022,28,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Hinthada,9/20/2022,2022,6,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Hinthada,10/20/2022,2022,4,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Wakema,5/20/2022,2022,5,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Wakema,7/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Wakema,8/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Ayeyarwady,Wakema,10/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Bago (East),Phyu,7/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Bago (East),Phyu,8/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Bago (East),Phyu,10/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Bago (East),Taungoo,5/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Bago (East),Taungoo,6/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Bago (East),Taungoo,7/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Bago (East),Taungoo,9/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Bago (East),Taungoo,10/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Yangon,Hlegu,6/20/2022,2022,34,Under 5 pneumonia cases treated,A2H
Yangon,Hlegu,7/20/2022,2022,25,Under 5 pneumonia cases treated,A2H
Yangon,Hlegu,8/20/2022,2022,24,Under 5 pneumonia cases treated,A2H
Yangon,Hlegu,9/20/2022,2022,15,Under 5 pneumonia cases treated,A2H
Yangon,Hlegu,10/20/2022,2022,19,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,5/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,6/20/2022,2022,3,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,7/20/2022,2022,4,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,8/20/2022,2022,4,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,9/20/2022,2022,3,Under 5 pneumonia cases treated,A2H
Yangon,Thaketa,10/20/2022,2022,2,Under 5 pneumonia cases treated,A2H
Shan (South),Loilen,6/20/2022,2022,3,Under 5 pneumonia cases treated,A2H
Shan (South),Loilen,7/20/2022,2022,6,Under 5 pneumonia cases treated,A2H
Shan (South),Loilen,9/20/2022,2022,5,Under 5 pneumonia cases treated,A2H
Shan (South),Loilen,10/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Shan (South),Nansang,7/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Shan (South),Nansang,9/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Shan (South),Nansang,10/20/2022,2022,3,Under 5 pneumonia cases treated,A2H
Mandalay,Myittha,6/20/2022,2022,3,Under 5 pneumonia cases treated,A2H
Mandalay,Myittha,10/20/2022,2022,6,Under 5 pneumonia cases treated,A2H
Magway,Taungdwingyi,6/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Magway,Taungdwingyi,9/20/2022,2022,7,Under 5 pneumonia cases treated,A2H
Magway,Taungdwingyi,10/20/2022,2022,1,Under 5 pneumonia cases treated,A2H
Yangon,Dagon Myothit (North),3/20/2020,2020,6,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),9/20/2020,2020,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),10/20/2020,2020,2,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),11/20/2020,2020,5,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),12/20/2020,2020,7,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),1/25/2021,2021,12,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),2/25/2021,2021,3,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),3/25/2021,2021,3,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),4/25/2021,2021,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),5/25/2021,2021,2,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),6/25/2021,2021,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),7/25/2021,2021,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),8/25/2021,2021,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),10/25/2021,2021,6,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),11/25/2021,2021,5,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),12/25/2021,2021,5,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),1/25/2022,2022,17,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),2/25/2022,2022,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),3/25/2022,2022,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),5/20/2022,2022,6,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),6/20/2022,2022,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),7/20/2022,2022,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),8/20/2022,2022,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (North),9/20/2022,2022,6,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),3/20/2020,2020,2,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),6/20/2020,2020,5,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),8/20/2020,2020,3,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),11/20/2020,2020,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),12/20/2020,2020,1,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),2/25/2021,2021,3,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),6/25/2021,2021,2,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),7/25/2021,2021,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),8/25/2021,2021,8,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),9/25/2021,2021,3,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),10/25/2021,2021,4,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),11/25/2021,2021,24,Under 5 pneumonia cases treated,EH
Yangon,Dagon Myothit (South),12/25/2021,2021,8,Under 5 pneumonia cases treated,EH
